% Model,TWA_Ragonal_like_plasma_for_Sij_centerfed_13strap_with2passive.mph
% Version,COMSOL 6.2.0.339
% Date,"Aug 29 2024, 11:27"
% Table,Table 19 - Global Matrix Evaluation 1
% freq (MHz),De-embedded S-parameter (1),,,,,,,,,,,,,,,
81,0.04391897916725339+0.8340863609961457i,-9.887966070014511E-6+8.095856780867056E-7i,-9.904477502686697E-6+8.378013636368918E-7i,-8.505326565613917E-6-8.588960201679482E-6i,-2.344585321754197E-5-2.20834075972258E-5i,-1.0047845488113308E-4-6.667251434868422E-5i,-4.8389336693200686E-4-2.3768704061344426E-4i,-0.003108706806400678-0.0020784067692740894i,-0.00982344458145986-0.03477491455893007i,0.47723627814528624-0.2691479941450749i,-0.01004037986647473-0.03468845867607493i,-0.003208809948500632-0.0021194336553943156i,-4.809269228117673E-4-2.132690556167943E-4i,-9.057276221409211E-5-6.05376772340473E-5i,-2.20661424823191E-5-2.0442297608436046E-5i,-8.704649484360221E-6-1.0076189519261832E-5i
,-9.917067690587483E-6+7.957065045233965E-7i,0.04387201080085741+0.8340905988806181i,-3.615654684055591E-8+5.24076792479015E-9i,-0.010471316849569843-0.03534939115328286i,0.47708716185387584-0.2685859886779498i,-0.009892002323190832-0.034679652268014394i,-0.003044065759548189-0.0020839598937818548i,-4.72225940029645E-4-2.295433460983875E-4i,-9.973785435819667E-5-6.956947775968516E-5i,-2.4994633403287592E-5-2.144963925028195E-5i,-8.619213799401809E-6-7.4225811508840384E-6i,-2.9470378202460943E-6-2.656444657216634E-6i,-1.0063180462389396E-6-8.703974692741694E-7i,-3.3741489206371695E-7-2.948539451449139E-7i,-1.035373905056E-7-9.523479546046033E-8i,-4.561862878183415E-8-3.9299118656524886E-8i
,-9.910229789082866E-6+7.930100177002146E-7i,-3.6868569622745984E-8+5.229169434156145E-9i,0.04395766142145705+0.8341032704239446i,-4.3113387321713607E-8-3.6387669432075105E-8i,-1.0901955173120448E-7-9.397143110343421E-8i,-3.470001889752598E-7-2.8849845134061764E-7i,-1.0002802548918432E-6-8.589235958509995E-7i,-2.9367645281064454E-6-2.628609147279654E-6i,-8.768032826385105E-6-7.927387993160004E-6i,-2.4680476838834783E-5-2.1832326014033807E-5i,-9.793364962386009E-5-6.987695172218936E-5i,-4.68458322279218E-4-2.512399737050188E-4i,-0.0030407020441800456-0.002110567372701807i,-0.009850693047330616-0.034728416209562164i,0.4771475855354104-0.2684341686853416i,-0.010328501996175295-0.03530138793374086i
,-9.144775159918415E-6-8.412148479419747E-6i,-0.010262968981448465-0.0352595585910218i,-4.316527530628914E-8-3.59007841435444E-8i,0.8924988105316589+0.4368262536969219i,0.055140565741066426-0.10302952357460674i,-0.0020621363636125966-0.012655344869750057i,-5.1509965059919E-4-0.0017928975383994618i,-7.129852754670843E-5-4.288829870666518E-4i,-1.1522533853606955E-5-1.3305038658105114E-4i,-1.3816937684197587E-6-3.891148859084057E-5i,-6.141390152455209E-7-1.409410384252214E-5i,-2.482751941408095E-7-4.928105397509429E-6i,-1.047252128519985E-7-1.667796290562592E-6i,-3.2668220740771164E-8-5.667085628825968E-7i,-4.685604373505641E-9-1.7572728735015517E-7i,-2.9247997068566634E-9-7.434769953336788E-8i
,-2.4969578966178694E-5-2.201958487313766E-5i,0.4769062625510717-0.2685062295757686i,-1.0791896297280365E-7-9.210174871904051E-8i,0.05509933179721892-0.10323416832497874i,0.6760908848343156+0.466440790181992i,0.05485902043779609-0.10041835088779705i,-0.002245002699956061-0.011497223853260225i,-5.424277735390819E-4-0.0015707554995419131i,-6.435316255891986E-5-3.7931616857378344E-4i,-6.650570508303862E-6-1.0357867382510359E-4i,-2.2297109254440762E-6-3.600692483545024E-5i,-4.3903202635649507E-7-1.256017574301391E-5i,-2.1801185656855248E-7-4.208285010221925E-6i,-5.883923318358813E-8-1.416364822949238E-6i,-1.8734011335514053E-9-4.3532946898030924E-7i,-5.583914090825326E-9-1.8980897563621454E-7i
,-9.908965329324693E-5-7.121961105329132E-5i,-0.009791238445901823-0.03471092677250326i,-3.485748006296505E-7-2.8030658824094404E-7i,-0.0021054105621178213-0.01266866056945144i,0.055032044051429016-0.10073027252269362i,0.8739903388504338+0.4555582983875718i,0.05760696550942475-0.11263448876593563i,-0.0029293047138124924-0.01269356549660192i,-6.134543812995245E-4-0.0017425003596976524i,-6.395079222729582E-5-3.7696665791274567E-4i,-1.6834466101255867E-5-1.2282798178036674E-4i,-1.726755609761001E-6-4.08404826254525E-5i,-9.51201986381019E-7-1.362012976748661E-5i,-2.624061321804281E-7-4.500794773262965E-6i,-2.3543647422069985E-8-1.3611240356343854E-6i,-1.6346340558338776E-8-6.416789993449709E-7i
,-4.6668433979222537E-4-2.480914398985672E-4i,-0.003030213941086974-0.002119218990992247i,-1.062657465626536E-6-8.210855926975744E-7i,-5.636909767742723E-4-0.001811525093116474i,-0.002174507580755143-0.01152358178401282i,0.056836395465236444-0.11325332100339207i,0.8726341212107764+0.45537174948415265i,0.056941427850863924-0.1140732778808582i,-0.0029095109081918973-0.01278453324263929i,-5.329924036898729E-4-0.0015843477778266792i,-1.0561095546020275E-4-4.2280876254558505E-4i,-8.104776846310432E-6-1.1467782394410073E-4i,-3.0756632644322233E-6-3.9670769881414037E-5i,-1.1362338566226546E-6-1.2680378925952247E-5i,-2.823167150365056E-7-3.662055576156847E-6i,2.6108156244965396E-7-1.8937384182919991E-6i
,-0.0030254158057354355-0.002122575133780028i,-4.6745420481578387E-4-2.488998989573016E-4i,-3.2324968689825146E-6-2.6934588076040326E-6i,-1.2576831216488005E-4-3.8149866018650407E-4i,-6.689387252885847E-4-0.0015849302394984374i,-0.003102854262771858-0.01301342760663689i,0.05758297247698359-0.1139300910392301i,0.8759375609235486+0.45894130188827775i,0.05793286168007508-0.1143604366120119i,-0.0024211412390014748-0.011798424692383652i,-6.154137512716828E-4-0.0018796280167115529i,-1.2088105905515365E-4-3.5349030811755424E-4i,-1.6281682222691217E-5-1.1972838692435706E-4i,-6.493792583382423E-6-3.8975149958622145E-5i,-2.7234206074496266E-6-1.1372455390151805E-5i,1.8336564695960913E-6-4.20835136558866E-6i
,-0.009784549864528615-0.03470229440946565i,-9.928823940860061E-5-7.120226521128089E-5i,-8.866560631926692E-6-7.813138491890305E-6i,-6.081634344171256E-6-1.2231884382406607E-4i,-6.502134463726874E-5-3.561908469717479E-4i,-6.408761515885498E-4-0.0017259879472227696i,-0.002850053443175362-0.01272253167471756i,0.05726414630812941-0.11313507995678927i,0.8735128756094334+0.455562461684074i,0.054936868375751374-0.10017195513504819i,-0.002182176112318553-0.012333604950914795i,-6.028108061862535E-4-0.0017419760776363191i,-7.311148009586725E-5-4.0267134876413097E-4i,-7.097594006099218E-6-1.2102563033968061E-4i,-1.7453401504405378E-7-3.5920703031632254E-5i,2.504677346006273E-7-1.5493418813565993E-5i
,0.47693834562941206-0.26851860903600844i,-2.494257709906367E-5-2.1922790706348864E-5i,-2.5047366280294658E-5-2.1904035669356272E-5i,7.137840524317238E-7-3.825176483004973E-5i,-1.7733308634874525E-6-1.012134826741532E-4i,-7.267502009033194E-5-3.752148399068352E-4i,-5.467249795018288E-4-0.001616438595893078i,-0.002389404119612114-0.011645989812097654i,0.05525893133262024-0.10044775599825799i,0.6778772228747248+0.4657017619936985i,0.054587715056670656-0.10080324017480077i,-0.002502912548402827-0.011968744406851996i,-5.993451361509242E-4-0.0015567839354585836i,-6.662198696535674E-5-3.383500548046546E-4i,-2.89122606973226E-6-9.448614023048655E-5i,3.8095586984354895E-6-4.174774495997211E-5i
