% Model,TWA_96MHz_flat_compare_plasma_withcaps_topfed_withPML.mph
% Version,COMSOL 6.2.0.339
% Date,"May 1 2024, 19:43"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
131,0.22750066442037797-0.9665124386132198i,-0.008390477262205882-0.002036764061330472i
132,0.1643404903857784-0.9796244366554868i,-0.005123477771527212-8.962026842420403E-4i
133,0.10742321250132188-0.9878251749607484i,-0.0032476745254845186-3.7598243116558345E-4i
134,0.05543067882575719-0.9924040502285613i,-0.0021199667356946498-1.330930779627317E-4i
135,0.007511870733897598-0.9941990606902852i,-0.0014173482076817344-2.0432496598424346E-5i
136,-0.03692906066253277-0.9937973358096583i,-9.667935458714353E-4+2.9333660687682245E-5i
137,-0.07833528982044999-0.9916319558957362i,-6.708970423726786E-4+4.84400129114023E-5i
138,-0.11705187714134087-0.9880342549951362i,-4.726019466254791E-4+5.27824268760497E-5i
139,-0.15335709145587348-0.9832645883546466i,-3.373780682932553E-4+5.0330383672910555E-5i
140,-0.18748152562009937-0.9775316758712346i,-2.4374795710138415E-4+4.509176129674761E-5i
141,-0.21962037017522068-0.9710054255284788i,-1.7803678979560575E-4+3.905448232991636E-5i
142,-0.24994164118982143-0.9638258078624931i,-1.3135951342370438E-4+3.316563198905105E-5i
143,-0.27859190528006267-0.9561092179157995i,-9.783963842356396E-5+2.783596350017011E-5i
144,-0.30570039512795205-0.9479531710830963i,-7.352876645756989E-5+2.320362506634461E-5i
145,-0.3313820543513971-0.9394398545522841i,-5.573629620244241E-5+1.9272995788760414E-5i
146,-0.35573984852255996-0.9306388686435708i,-4.2605266933092014E-5+1.5987663920027043E-5i
147,-0.3788665594207434-0.9216093796852529i,-3.283917442276445E-5+1.326829634839109E-5i
148,-0.4008462064978101-0.9124018356368844i,-2.5523210463877374E-5+1.1031699530313153E-5i
149,-0.4217551933426416-0.9030593504609697i,-2.000559978302794E-5+9.199826752983914E-6i
150,-0.44166324711638033-0.8936188332254087i,-1.5817795565924866E-5+7.703474424384849E-6i
