% Model,TWA_96MHz_flat_compare_plasma_withcaps_topfed_withPML.mph
% Version,COMSOL 6.2.0.339
% Date,"May 2 2024, 19:04"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
65,-0.3508601335058225+0.8972776761666879i,0.007286406960365677+7.85854329650221E-4i
66,-0.3087703865140558+0.9090888023550914i,0.008832839788424583+4.3955960950249856E-4i
67,-0.2635964458437696+0.9192340264693697i,0.010772194077515857-1.3143748304625852E-4i
68,-0.21504267983450634+0.9272689108585359i,0.013219988260733716-0.0010471162940774814i
69,-0.1627724476253992+0.9326143992036338i,0.016328227889725582-0.002497155969696581i
70,-0.10640779816724857+0.9344974622679187i,0.020295095113417868-0.004784260688548563i
71,-0.04552437093861191+0.9318500181457251i,0.0253710248401326-0.008408851101619739i
72,0.020321762413291+0.9231374542195159i,0.03184766972201477-0.014215444579259776i
73,0.09150352434217918+0.9060487507100247i,0.03998474733312064-0.02367270396912183i
74,0.1680149660047603+0.8769258044827625i,0.04973108956879446-0.03940540276493656i
75,0.24847224787493183+0.8297450713195107i,0.05977170643968498-0.06616355645021745i
76,0.3269006817841931+0.7547477163759082i,0.06438936299741169-0.11213181150852167i
77,0.3832708799216878+0.6400001672688397i,0.04412086462858893-0.18730332851215092i
78,0.36812374244834956+0.4955775154632872i,-0.04944459882054024-0.27924714752030166i
79,0.2522016291455996+0.41893023610238367i,-0.24386093044858717-0.2876735231720833i
80,0.17279419690822354+0.48323760114827813i,-0.3990234756574258-0.13575728759793032i
81,0.2174179380097744+0.5559510548264844i,-0.42228392314639057+0.04825500820541264i
82,0.31115555946448803+0.5584745231293256i,-0.3800271707765471+0.1897925272378166i
83,0.3977829724963799+0.5011290582645751i,-0.31504403854232693+0.301473056574168i
84,0.45396456372265026+0.4036717037528713i,-0.23055480631175798+0.399812953027463i
85,0.4647693994956658+0.28444198638102725i,-0.11537215909049262+0.48650978458151195i
86,0.4192677073439873+0.16882508423646128i,0.04211358509695859+0.545787384289443i
87,0.3215228964709192+0.09327048115320803i,0.23844928239742003+0.5457487787131157i
88,0.20573928558656845+0.09046783779866287i,0.43909404566970023+0.4559205453239663i
89,0.12724821178009807+0.1577111485344351i,0.5873125693689745+0.28020828600727504i
90,0.12092946519768165+0.2502190805727513i,0.6457270666737145+0.06435493475160647i
91,0.17782978713238234+0.3181450542854561i,0.6197247521842765-0.14045014441264558i
92,0.26540357124667424+0.3375202033789168i,0.5373074325740929-0.30796088934504984i
93,0.35332222400221647+0.3084475878400194i,0.4234034893774292-0.43447816145395973i
94,0.4217551664514058+0.24198159257671986i,0.2918210946074948-0.5249392723847589i
95,0.4594160423241056+0.15214409882996704i,0.14779966326629684-0.5838275237175435i
96,0.460507457098682+0.05374588045049246i,-0.007514064100874307-0.6115869069398766i
97,0.42369833730006196-0.037259556859165384i,-0.1730549033005501-0.6036727610528795i
98,0.35351206225319076-0.10344933760330616i,-0.3438314786112394-0.5510782915229364i
99,0.2634730514691266-0.12789114068328303i,-0.5065604548660438-0.44324348602899916i
100,0.17838289993040987-0.10059146061754178i,-0.6368489095563886-0.27523650491525753i
101,0.12996495765400487-0.028675693306592497i,-0.7033178545746258-0.05846751184874612i
102,0.141637645943775+0.05839415871139245i,-0.6827560087915976+0.17370207051698947i
103,0.2112806223573847+0.12028504647035733i,-0.5773477164190607+0.3771597986047084i
104,0.31086098622508285+0.12890946892622807i,-0.414982126237549+0.5199622531066571i
105,0.4046355189283879+0.08111509782602618i,-0.23086261645683007+0.5947059936757605i
106,0.4664052560436959-0.00740847746087472i,-0.05005330130037797+0.6117583224262326i
107,0.483911270078853-0.11440781990214809i,0.11685541283116517+0.5857200393954864i
108,0.4551179615602608-0.218132878270223i,0.26916461585891194+0.5262598703497403i
109,0.38447237316938015-0.29800932237883343i,0.4092651902496725+0.4343094248736554i
110,0.28372891484422375-0.3325454518356338i,0.5349705027757755+0.30130074622387765i
111,0.179513449134786-0.30063808717007745i,0.6287045281552586+0.11314394777941357i
112,0.12275622767613693-0.1983369553522694i,0.6468691848698598-0.13076578369645378i
113,0.16955673922042705-0.07492324528389714i,0.5385386483784348-0.37992928353601374i
114,0.30898981091506045-0.025854422372506573i,0.31730723727066684-0.5384795047144367i
115,0.44805217597595265-0.09208126361757527i,0.07627699861821592-0.5643449135228983i
116,0.5143770916482858-0.22527223172057587i,-0.11454680740865697-0.5024739059079124i
117,0.4992234587614942-0.3629880423179516i,-0.251596655419425-0.40686529516149694i
118,0.4198131263671718-0.4655591012890077i,-0.3591065731168597-0.2961330562915057i
119,0.2975059295899807-0.4994370435941704i,-0.45426732036008133-0.15245855897710997i
120,0.1867428058095266-0.41868888197191606i,-0.5064285040236726+0.07146883692552218i
121,0.23691785673123925-0.2556955223753343i,-0.3776921478641745+0.34849211734288527i
122,0.44027584100986744-0.2655181939573801i,-0.07993604704586506+0.4264045022577898i
123,0.521805382079555-0.43660386373862364i,0.11279451823666176+0.3166472397380137i
124,0.4692033327988636-0.5801598305622099i,0.19918758671801218+0.19485583285156924i
125,0.358808254703097-0.6233697022174145i,0.2560350077406028+0.05839369454525526i
126,0.36673285934552957-0.5416151693559269i,0.17246462494466722-0.14199359659438893i
127,0.45852822956908285-0.6567952894743935i,0.002556564012727354-0.10709961390727107i
128,0.4057109948983513-0.7763138664544953i,-0.018644662647349187-0.043387316699384657i
129,0.3325077133698847-0.8409107526162347i,-0.014110494922209374-0.01868396648987811i
130,0.26417195339797933-0.8796966161740479i,-0.009244641392110274-0.008796696714774373i
131,0.20218773813338334-0.9050372010608181i,-0.005982885334098832-0.004419909924376806i
132,0.14565167789075079-0.9221741636003968i,-0.003918946719186844-0.0023228246475612757i
133,0.09366405620650468-0.9337331305695742i,-0.0026108082483898665-0.0012579910728173235i
134,0.045535437914922136-0.9412267746342371i,-0.0017691690191077914-6.938880695047722E-4i
135,7.464776575601891E-4-0.9456208067465874i,-0.0012180097382217152-3.8564607218763306E-4i
136,-0.041103333618751535-0.9475792696169587i,-8.507676384775447E-4-2.1345209707090244E-4i
137,-0.08033210423060984-0.9475841053159249i,-6.021001744946204E-4-1.158530614384427E-4i
138,-0.11719949534951307-0.9459993035281172i,-4.312289866920618E-4-6.012798683752396E-5i
139,-0.15192245497757514-0.9431081005653368i,-3.1223609697481015E-4-2.832498997499673E-5i
140,-0.1846857630360824-0.9391359658967071i,-2.283573584983996E-4-1.035587804567042E-5i
