% Model,TWA_96MHz_flat_centerfed_plasma_for_Sij.mph
% Version,COMSOL 6.2.0.339
% Date,"May 22 2024, 00:44"
% Table,Table 8 - Global Matrix Evaluation 1
% freq (MHz),S-parameter (1),,,,,,,,,,
96,-0.3551674043531664+0.8983490793862637i,0.22096610862277571+0.07855711173079401i,0.06465021161310588-0.00687937559904705i,0.016607440778751207-0.009024646762636035i,0.0036823990927516933-0.004199428640437978i,6.344166826494349E-4-0.0015316875411695732i,4.019585420896098E-5-4.901179514732011E-4i,-3.164711952624659E-5-1.4223717606287335E-4i,-2.1171020870868935E-5-3.7555455701007666E-5i,-9.177047131799376E-6-8.859111244472433E-6i,-3.3268867348840693E-6-1.8561773494147228E-6i
,0.2209660936710225+0.07855764123509264i,-0.3520142986269378+0.8697211832110879i,0.21882713882903598+0.07118810869308419i,0.06335230066658322-0.008610639405943876i,0.01607471723379241-0.009369866424991264i,0.0035030238544829844-0.00424451871496153i,5.798591377432346E-4-0.0015273939258387897i,2.522597932477813E-5-4.8445508832421324E-4i,-3.537515074628299E-5-1.3941836019018704E-4i,-2.198812617817832E-5-3.652740954546721E-5i,-9.173630913561771E-6-8.858420678532887E-6i
,0.06465021338596251-0.0068793678341460655i,0.2188270557520668+0.07118766787276655i,-0.3533578216706504+0.8679658309042924i,0.21841850430876675+0.07092188682090868i,0.06318548830643908-0.008656959505952185i,0.016025968003935433-0.009362922089690614i,0.0034883444380040766-0.0042359522175392655i,5.768188845028599E-4-0.0015246960245108962i,2.4687157256427548E-5-4.836278521473065E-4i,-3.538439560275392E-5-1.394138279936444E-4i,-2.1163913828836214E-5-3.7547915329220884E-5i
,0.01660759844670631-0.009024604535952364i,0.06335229553100369-0.008610653806151997i,0.21841856960839728+0.070922296213563i,-0.353386494472883+0.868076401522007i,0.21833807725407361+0.07085624813274059i,0.06315957086279365-0.008648112220294718i,0.01601159256508313-0.009352788227110925i,0.0034874392397765126-0.00423452968955991i,5.7717185895419E-4-0.0015247456502477125i,2.5293312050696823E-5-4.844906065348992E-4i,-3.160412611877719E-5-1.4222605175374643E-4i
,0.003682480828220874-0.004199459637334226i,0.016074724212617814-0.009369861001545665i,0.06318569519981297-0.008656745923683226i,0.21833804862171804+0.07085630138077945i,-0.3531204533618321+0.8681004958796986i,0.21837025194438606+0.07086852654760875i,0.06313332649353948-0.00864583865601353i,0.016014346890170974-0.009355828138553495i,0.0034899474734473817-0.004236865328229892i,5.801228731922728E-4-0.0015277803508911504i,4.030119670492108E-5-4.901379803666341E-4i
,6.344376297690998E-4-0.0015317196320023252i,0.003503027436849381-0.004244521019183502i,0.01602611921936029-0.009362902179971893i,0.06315958829636723-0.00864809130906778i,0.21837028078185522+0.0708685287821102i,-0.3533825465435202+0.8680346257517373i,0.21818095336276744+0.0708434132908433i,0.06312056008340461-0.008637334969504256i,0.016019673044987543-0.009353679841641106i,0.003501779111103769-0.00424127476566988i,6.344242598115636E-4-0.0015302032609478468i
,4.01954914753796E-5-4.901335779891365E-4i,5.798596268780427E-4-0.0015273953097377788i,0.0034884044552494623-0.004235985624512802i,0.016011603150760445-0.009352786979700576i,0.06313333859845678-0.008645849169374165i,0.2181809590853781+0.07084341167869855i,-0.35349577514139985+0.8680215210259107i,0.218245487810945+0.07084460796615968i,0.06316295557522064-0.00864054822243608i,0.016068095781861955-0.009363552330701326i,0.0036807802065388323-0.004195507313501603i
,-3.165063027835297E-5-1.4224219282209612E-4i,2.5225937204930067E-5-4.844545919810164E-4i,5.768313750794578E-4-0.0015247220539286988i,0.003487437938051707-0.0042345286052805605i,0.01601433392884631-0.009355835177775261i,0.06312053974482085-0.00863735323554683i,0.2182454672719427+0.0708445649661455i,-0.35322280310642007+0.8680643532750498i,0.21840294509195554+0.07088003318805669i,0.06333556003254967-0.00862509515353772i,0.016598542853646522-0.009022504224942265i
,-2.1173399212883134E-5-3.7556504655503236E-5i,-3.537522276256796E-5-1.3941815870907405E-4i,2.4685398780844424E-5-4.8364087640154153E-4i,5.771706467599945E-4-0.00152474569886343i,0.0034899391401165833-0.004236867456137703i,0.016019659410237853-0.009353690867857934i,0.06316294526583861-0.008640584624329116i,0.2184029998993758+0.07087999906584881i,-0.35319867410327543+0.8681787102736773i,0.21886040359118655+0.07116882022114243i,0.06464240075349634-0.006878295383355254i
,-9.177016611995532E-6-8.859124011987131E-6i,-2.1985682574295466E-5-3.65265340405179E-5i,-3.538411067729387E-5-1.3941354002700677E-4i,2.529498019446498E-5-4.8447594729744047E-4i,5.801055499386035E-4-0.00152774919959851i,0.0035017113094053427-0.004241241109816123i,0.016067940235830667-0.009363577443661555i,0.06333535905618515-0.008625317071798238i,0.21886030527624353+0.07116836065362729i,-0.35186851906405514+0.8696805663635271i,0.22094806743130813+0.07855492931181254i
,-3.326895528942743E-6-1.8561736416876422E-6i,-9.172585645917203E-6-8.85851905188178E-6i,-2.1163869703556938E-5-3.754790266274996E-5i,-3.160070813148199E-5-1.422207446462616E-4i,4.0300643135867015E-5-4.901220837818304E-4i,6.344033959713585E-4-0.0015301745032469708i,0.003680705561235061-0.004195481854697901i,0.016598388607581088-0.00902255920142033i,0.06464222346472229-0.006878544116780927i,0.2209480666368388+0.07855496437922876i,-0.3554354260594148+0.8982424996054629i
