% Model,TWA_capbox_plasma_withcaps.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 13 2024, 17:43"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S12 (1),S22 (1)
104,-0.030431771620011733-0.7859587477424598i,0.6018357728764357-0.025557531048537734i
105,-0.26872769563777926-0.7187899896424355i,0.5856652096992214-0.2232164881958921i
106,-0.49565466199134345-0.6106873815853436i,0.46525386431853116-0.3847312618324014i
107,-0.7325382745008798-0.42639388097622105i,0.25411881140675296-0.4500304891417115i
108,-0.9355307870528303-0.0796885502304031i,0.020378372199693448-0.3259471756443251i
109,-0.890405880790418+0.44234515601253654i,-0.007160933266128631+9.38244798160072E-5i
110,-0.4706053511906649+0.7981999879033775i,0.3042681625096792+0.18378919408994i
111,-0.033768268276888114+0.7907363600890893i,0.595398165871007+0.02622676997679312i
112,0.23323495840925274+0.6488115607554176i,0.6684994708023422-0.24186983944519172i
113,0.4115607006006682+0.5079086535358958i,0.5766546375381415-0.4710873115121384i
114,0.599472710362739+0.3581666463294482i,0.35820450295729944-0.6069320632464552i
115,0.8479156288292953+0.04948406707366238i,0.026557166102787792-0.5157906175847389i
116,0.7380917300142318-0.6649078013061979i,0.02377852029167839+0.027193923865011526i
117,-5.613913342218025E-4-0.7707894627014753i,0.6222107113849761-0.004282959828263188i
118,-0.26896751642420724-0.4839337878583567i,0.7144423958635947-0.4040460370415409i
119,-0.3731405866490766-0.32103621617729944i,0.5552084592542875-0.6568859274382787i
120,-0.5893496525059834-0.17595351351424524i,0.21393257094706586-0.7496209388532404i
121,-0.5716879703767924+0.8025518722236336i,0.09865085778078983+0.08169719877586375i
122,0.22717233780288298+0.36164097976716103i,0.7559667486426939-0.4752478016497644i
123,0.24948756380668047+0.1765822602463708i,0.5432940935377727-0.7704528740434704i
124,0.0632956630231828-0.8091334039619202i,0.5678521357382953+0.02736285773938986i
125,-0.04757039506174074-0.03282589193676754i,0.5556038822710713-0.8185434384759934i
126,-0.014664635621502326-0.007137883251062957i,0.42772770845691743-0.8945990298782115i
127,-0.005915945639282617-0.0021916731251466286i,0.3383306809433211-0.9327640070924719i
128,-0.0027360570357776166-7.764000580039004E-4i,0.26451535385327896-0.9567818163959576i
129,-0.0013792048003310631-2.9327739840004E-4i,0.1999672696321462-0.9727098582129484i
130,-7.39116548254419E-4-1.1179725142086205E-4i,0.1419734838940413-0.9831913984427617i
131,-4.15001221493214E-4-4.012687326421174E-5i,0.08906610982380266-0.9896968359398371i
132,-2.4192086556321847E-4-1.14157372580156E-5i,0.04032950866705557-0.9931609011527973i
133,-1.455391471145288E-4-2.3518664589636167E-7i,-0.004864302408348948-0.994229784409639i
134,-9.00009225321642E-5+3.6735468882665946E-6i,-0.04697616471620379-0.993375887668541i
135,-5.7070012814173544E-5+4.604836528433671E-6i,-0.08636159403437235-0.9909583819226264i
136,-3.706229027661587E-5+4.389201753757967E-6i,-0.12330542955228393-0.9872582583523797i
137,-2.464684465980205E-5+3.804694844928869E-6i,-0.15804260951274943-0.9825000936112257i
138,-1.6798352021058446E-5+3.1710247922985257E-6i,-0.19077133187086692-0.9768663328734659i
139,-1.175429727118454E-5+2.6075883399175056E-6i,-0.2216617843140521-0.9705070901482081i
140,-8.464079401390182E-6+2.1477841873222964E-6i,-0.250862166750436-0.9635471229835327i
