% Model,TWA_96MHz_flat_compare_plasma_withcaps_topfed_withPML.mph
% Version,COMSOL 6.2.0.339
% Date,"May 2 2024, 22:31"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
65,-0.3645362552711699+0.9235366284517026i,0.006974455913652685+0.0025008350212484204i
66,-0.3221914501387212+0.9385348619047287i,0.008569153200135493+0.0026293414899684698i
67,-0.27648772298655644+0.952318657874385i,0.010615811473750745+0.002689754737128746i
68,-0.22702837028569423+0.9645360189375377i,0.013272248620299432+0.002623459860102379i
69,-0.17332866357129156+0.974730608275551i,0.016764276101978014+0.0023302800695859174i
70,-0.11478487122790307+0.9822949865354356i,0.02142058391333152+0.001639530934927889i
71,-0.050609541618757456+0.9863907021977558i,0.02773314826782728+2.470491451338835E-4i
72,0.02026104626272737+0.9858016248906638i,0.03645611918487627-0.0024025548857915897i
73,0.09933548113665149+0.9786413867713822i,0.04877994529035418-0.007373139286414988i
74,0.1888600421178034+0.9617077269436773i,0.06663629552804562-0.016833832499310957i
75,0.292293410493502+0.9288760309687266i,0.09319542382510197-0.03559757155839439i
76,0.4146689902819591+0.8664909003516249i,0.13327172062302756-0.07563278264724643i
77,0.5585434101027211+0.738063834316392i,0.18936257945451393-0.17122323998855157i
78,0.6678688841853547+0.43777275292924134i,0.20575886993063108-0.42530257077417427i
79,0.28656260988992993+0.02291462934535926i,-0.2725387010515215-0.7773473056719982i
80,-0.09025505421450065+0.45077859818202437i,-0.7503549231965867-0.26548420152576696i
81,0.12429081262145471+0.6940623051183814i,-0.6369269983666185+0.09151607672436955i
82,0.3323188906140205+0.6968925624533719i,-0.5225561120492669+0.2461985407249397i
83,0.4861311538956042+0.6097195522254526i,-0.4414384262153207+0.35989363777017636i
84,0.59041518907151+0.4680445659845355i,-0.3626336316630393+0.47880875390591404i
85,0.6319553793336297+0.2831157259518215i,-0.2515207652499332+0.6143904782963036i
86,0.5796224938184862+0.07825018201652889i,-0.06660688001060837+0.7503814040028205i
87,0.40739216677210455-0.08075064045968071i,0.22270875967426593+0.8231229296749091i
88,0.16175745491157478-0.09223458348286691i,0.5713709641980714+0.7313360786436673i
89,-0.011324141024165643+0.06717744501480545i,0.8328433218740758+0.4512058274626458i
90,-0.0159444513784488+0.27524242593725096i,0.9087960157556453+0.10426786069618943i
91,0.10204585837224286+0.41146997475005886i,0.8408842197833082-0.1892331484386203i
92,0.2582741310530393+0.4481124207512753i,0.7077154327702675-0.400776332559468i
93,0.40099296028849285+0.40536326024241504i,0.5536687937457081-0.5482500258934369i
94,0.5072991697123591+0.309204835284037i,0.3925008607898201-0.6528719580996851i
95,0.56701461026537+0.1808964621562598i,0.22349600853488621-0.7270444703115856i
96,0.5741833277366967+0.03883348069167708i,0.04079627036222535-0.773565844081485i
97,0.5250498499186917-0.09727223108086305i,-0.16162676978562393-0.7859842805516639i
98,0.42076058810524963-0.20274122812863168i,-0.38498314671360884-0.7483157564987731i
99,0.2748643136876972-0.24750668472549023i,-0.6175662055709497-0.6366190632441671i
100,0.12358186849718157-0.20504612937769373i,-0.8244002799865469-0.42905973084728416i
101,0.02628724436826245-0.07600193368264639i,-0.9467747655754718-0.1302035864633374i
102,0.03585965251586791+0.0894256347640709i,-0.932003762177329+0.2060898116026177i
103,0.15206359174251743+0.21123587183769246i,-0.7802388795663545+0.4961721385577427i
104,0.3182260204312462+0.23731625579694265i,-0.5477969830153503+0.6843037015469716i
105,0.4688779420568112+0.16970965942605845i,-0.2990998501792188+0.768814325239861i
106,0.5653098802606968+0.04135937479016654i,-0.07046504374963823+0.7781991264248316i
107,0.5952602417845275-0.11212996097445929i,0.13022339932807683+0.7414435615892352i
108,0.5594400052632149-0.26244529164452846i,0.3104275489447054+0.6752596216957046i
109,0.46213705417232814-0.385545830446609i,0.4825543465006958+0.5814610785986848i
110,0.3102802642094556-0.45316681625086447i,0.6559577099395183+0.44483118283312634i
111,0.12609533844716017-0.4236992674461558i,0.8215638474567253+0.2294585786806737i
112,-0.016135787268890874-0.2535336402936399i,0.9149132254946707-0.10655723270934546i
113,0.028000408475500005+0.009275284088503477i,0.7983662252430361-0.5158622987959846i
114,0.2901208282794587+0.14188189411805446i,0.4434427027797943-0.7776682792383441i
115,0.5484327717256866+0.031437782869829366i,0.07112091189039164-0.7803675458367589i
116,0.6550980071943132-0.18884965947743426i,-0.17486274257417256-0.6564906696633473i
117,0.6297118976469078-0.40001925942645344i,-0.3238248612481584-0.5213881132304398i
118,0.5146638554826268-0.5613468538522992i,-0.4396359685754965-0.4022115958135542i
119,0.3211339731462255-0.6474134378019784i,-0.5760439762599556-0.27281415524949737i
120,0.050023041930083945-0.5626558222720155i,-0.7635014511264705-0.022435070968552528i
121,0.0011975657219602481-0.09696192456353957i,-0.7138557797594139+0.5743976894526519i
122,0.5760722800280782-0.0415162035809102i,-0.02571312917469483+0.7327491423238695i
123,0.7063180143174709-0.42819261821553434i,0.2314665119527463+0.42720835779217103i
124,0.5899921522391024-0.6656617278359391i,0.27973897793034896+0.2573611992085833i
125,0.37275161230483095-0.7866161515782495i,0.37211619384986633+0.16365852143446866i
126,0.06122754534818466-0.23892787801862686i,0.567989877814014-0.5096198757737567i
127,0.6436089216434833-0.6835868287025805i,-0.11916318326395527-0.14510509155441134i
128,0.48623940815849764-0.8456304824642839i,-0.052100771488468194-0.03584843653579708i
129,0.3799429303755191-0.9053731533318667i,-0.02574086755566744-0.012805953130913497i
130,0.2965732214076409-0.938675493206527i,-0.014074528878246602-0.005321043684397224i
131,0.22573997054676231-0.9597166390664235i,-0.008230640428346231-0.0023729109636318677i
132,0.1631613341100916-0.9733944287618499i,-0.005049047350359503-0.0010848070081993727i
133,0.10667700147641836-0.982039038281689i,-0.0032112595393817933-4.8733610719626575E-4i
134,0.05502315962776213-0.986987327215096i,-0.002101624500706204-2.01455856972048E-4i
135,0.007377502725085256-0.9891016664749798i,-0.001407994935151457-6.372723959759497E-5i
136,-0.036838755388891774-0.9889829820843998i,-9.620492603241619E-4+1.208009500299352E-6i
137,-0.07805774060801444-0.9870727911841766i,-6.685597126796118E-4+2.9775731219781616E-5i
138,-0.11661688361565131-0.9837079254334504i,-4.7153014629668295E-4+4.0170863436297385E-5i
139,-0.152788919140496-0.9791525203821139i,-3.369673139321173E-4+4.167541946985635E-5i
140,-0.18680027025042245-0.9736180188495108i,-2.4367386780223081E-4+3.907195882198848E-5i
