% Model,TWA_Ragonal_like_plasma_for_Sij_centerfed.mph
% Version,COMSOL 6.2.0.339
% Date,"Aug 13 2024, 19:00"
% Table,Table 15 - Global Matrix Evaluation 1
% freq (MHz),De-embedded S-parameter (1),,,,,,,,,,,
89,0.1470673453630096+0.8281372934397657i,-2.951416659468805E-5+7.2558028590546145E-6i,-2.9568709586888036E-5+7.208770626437147E-6i,-8.2081428326548E-5-5.951532290207743E-5i,-4.0727927996898856E-4-1.9704669527820787E-4i,-0.0027681345886106244-0.0015436213878554706i,-0.012302481865187734-0.030109937425344173i,0.44521007309882116-0.30380793871608175i,-0.012425531383087031-0.030136311680702334i,-0.0027706865847160144-0.0015574219678579943i,-4.1580795668044447E-4-1.871489878676965E-4i,-8.315296615935135E-5-7.004608021196695E-5i
,-2.9502091957239424E-5+7.316476867044547E-6i,0.14542223380235275+0.8268823489673258i,-3.0084734667201133E-7+7.560497754443132E-8i,0.44520106703262585-0.31004340061707913i,-0.012872471347117314-0.030769151215533246i,-0.002887623059240857-0.0016328008887561646i,-4.760728131469053E-4-2.1599008993118294E-4i,-9.354960639530633E-5-5.932801117901866E-5i,-2.7418679846248356E-5-2.134870040734739E-5i,-9.013554599167802E-6-6.37565509432207E-6i,-3.0850555284039584E-6-1.9820344607701536E-6i,-7.334414242797513E-7-1.0164235392059894E-6i
,-2.9509688121886025E-5+7.227807525344408E-6i,-3.441579576668752E-7+6.029363959280052E-8i,0.14546471558095542+0.8268820043968277i,-9.603037431063283E-7-8.333795994754002E-7i,-3.02821602277766E-6-2.406408364850846E-6i,-9.068442482053526E-6-7.131749063294822E-6i,-2.7812164195745017E-5-2.198620721973496E-5i,-8.549153349949558E-5-6.244966705303503E-5i,-4.2734636614624814E-4-2.1539865693164976E-4i,-0.0028115078230275137-0.0016351157336847388i,-0.012742678615441452-0.03057556920479344i,0.44438381201010524-0.31011373992429686i
,-8.613655359087742E-5-6.244646466684378E-5i,0.44457841200481113-0.31011159901201896i,-9.230064650450784E-7-6.824525088617775E-7i,0.7203400761276002+0.4224607055493653i,0.04705636867746334-0.09807953836535335i,-0.0022745985254724503-0.010593218018982078i,-4.7905980503983985E-4-0.0016362189017724014i,-5.084339856058815E-5-3.561895941014645E-4i,-5.306313908602226E-6-1.1317795617127312E-4i,-3.4192845163638296E-6-3.599906759707358E-5i,-1.6369727136897618E-6-1.1926165231833484E-5i,1.0212275137602479E-6-3.836943680613556E-6i
,-4.174372007359174E-4-2.0020645896090734E-4i,-0.012723371971355374-0.030599896694578695i,-2.9735967950017298E-6-2.4347633159932007E-6i,0.046801350585053386-0.09736045250860044i,0.898257500697044+0.40830879217256033i,0.04750220470196019-0.10688865587226944i,-0.002852388665318757-0.01106779231141373i,-4.1427443200331264E-4-0.0014313966464130324i,-6.0725893030395006E-5-3.809272862605681E-4i,-7.182021156445731E-6-1.1551465859492063E-4i,-2.435677601868941E-6-3.797454230181164E-5i,1.2296141008454883E-7-1.3473718496678215E-5i
,-0.0027566043564770984-0.0015875955973087465i,-0.0028166938224685463-0.0016424778736209432i,-8.631187135131875E-6-6.930649797192148E-6i,-0.0022559712692893255-0.010580112277055296i,0.04742213175899349-0.10712494611224013i,0.8989699416984814+0.4084858603737705i,0.04690060961610921-0.1078437928429809i,-0.0023093337917353745-0.010166070351300445i,-5.690993867120083E-4-0.0015576896261792145i,-7.56641800650274E-5-3.3850119150310304E-4i,-1.540078403645371E-5-1.0937146756840815E-4i,4.800877425411033E-6-3.826810981583291E-5i
,-0.012305942911542253-0.030151330375806133i,-4.289868806521814E-4-2.1469213185851E-4i,-2.7538869553007113E-5-2.1747810258696828E-5i,-4.7895572927273995E-4-0.0014577035476788793i,-0.002877861460361889-0.010950305921842344i,0.04679562468471663-0.10773392986280174i,0.8986453477068466+0.4082563130666947i,0.046116063535418715-0.09584849797750904i,-0.002236755783516873-0.011037370618447387i,-5.512162584163258E-4-0.0015096979256396022i,-7.27953033930104E-5-3.6751350978437886E-4i,7.036866904683101E-6-1.1791763329345268E-4i
,0.4450858994187159-0.30352315153657083i,-8.585455333622373E-5-6.275157895349758E-5i,-8.584521276617424E-5-6.298682602341079E-5i,-2.6816259181712542E-5-3.2583109000826327E-4i,-3.879142363841829E-4-0.0014152678428441022i,-0.0022450880346787357-0.010099761296821818i,0.046651650604981276-0.0952758161872782i,0.7057296714698003+0.4360703865136569i,0.04646932785198375-0.09566775373320095i,-0.002215464414293257-0.010137243483787724i,-4.314505536225188E-4-0.0014182727396245703i,-1.723929075485196E-6-3.4951581148759316E-4i
,-0.012305235752197895-0.030151357507820102i,-2.797886513714623E-5-2.2043899393739804E-5i,-4.275779632599187E-4-2.1503332153687173E-4i,-2.372383770788528E-6-1.1337277034679177E-4i,-5.440853686790985E-5-3.9423286833259707E-4i,-4.5239734228535826E-4-0.0015783902595610817i,-0.0021175298841469787-0.01090866787302816i,0.046704301481904076-0.09525199664756187i,0.8995461201587759+0.4096158363047302i,0.04730616419111024-0.10710558737051762i,-0.002825308377169141-0.011082445143570213i,-2.873535449714946E-4-0.0014490506508787373i
,-0.0027557855136775182-0.001585015460259658i,-9.122865829189105E-6-7.172589412953848E-6i,-0.002814591663911462-0.0016391495807657117i,-8.717795416585064E-7-3.748989805904178E-5i,-1.217800415342277E-5-1.2093668707436392E-4i,-6.556054980957108E-5-3.944620958099075E-4i,-4.496146538325675E-4-0.0015880532556382468i,-0.002124306038766815-0.010157178131757085i,0.0473042632735673-0.1072618450908641i,0.8984121033233323+0.4092789315684025i,0.04728396624246546-0.10700806681369372i,-0.0021345347021942875-0.010129218550891023i
