% Model,TWA_Ragonal_like_plasma_with_caps.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 24 2024, 17:46"
% Table,Table 11 - 
% lcap (m),f (MHz),freq (MHz),S11 (1),S21 (1)
0.03,96,96,0.9379843190701029+0.3460872585480396i,0.0022028662381224037-0.005968247033857202i
0.04,96,96,0.989057045813778+0.13699903479197462i,0.0070188844838447876-0.050681920802953286i
0.05,96,96,0.9535267087482823+0.10039895629858472i,-0.029565093409504372+0.2818891754238401i
0.07,96,96,0.8251991900784313-0.22386388763319306i,-0.13563338097969346-0.5001878519856154i
0.08,96,96,0.3106564727525033+0.3423356766962837i,-0.6552599188080594+0.5972290836483012i
