% Model,cap_for_S11.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 20 2024, 22:50"
% Table,Table 3 - Global Evaluation 3
% f (MHz),lcap (m),freq (MHz),S11 (1),S11 (1),De-embedded S11 (1),TEM port impedance (Ω),TEM mode port characteristic impedance (Ω),Voltage standing wave ratio (1)
96,0.01,96,0.8760590815742397-0.48220749736294516i,1.5569089369750864E-5,0.9997959753524683-0.020287744841202826i,-1.352284815173233E-4-36.379141561348746i,9.33990162960615,-1115786.470413284
96,0.02,96,0.8559613928010776-0.5170417164422478i,8.870488334004178E-6,0.9981709736862368-0.06047106578998185i,-6.6296584126797E-5-33.564723303582475i,9.339901629606146,-1958379.1356123963
97,0.01,97,0.8735197261779053-0.4867923885690388i,1.538090562684132E-5,0.9997916484859111-0.02049880992879971i,-1.3091185331565533E-4-35.987723967630664i,9.339901629606153,-1129437.9991406612
97,0.02,97,0.8530212150891574-0.5218781691316903i,8.758878880087036E-6,0.9981326658831038-0.06109990266372134i,-6.415293034027105E-5-33.20098564720798i,9.339901629606146,-1983333.6565902943
98,0.01,98,0.870956381220925-0.49136389887063353i,1.5196383786586648E-5,0.9997872776970991-0.02070986378089229i,-1.2677212308855027E-4-35.60412382266586i,9.33990162960615,-1143152.181459782
98,0.02,98,0.850053716175121-0.5266978936986331i,8.649442457631336E-6,0.9980939628458971-0.06172870434638017i,-6.209764458286694E-5-32.844485988539695i,9.339901629606146,-2008427.6367530243
