% Model,TWA_Ragonal_like_plasma_with_caps.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 25 2024, 10:58"
% Table,Table 11 - 
% lcap (m),f (MHz),freq (MHz),S11 (1),S21 (1)
0.077,96,96,0.004144579989647528-0.12697335638379395i,-0.9911940270615627-0.03467445734801222i
0.078,96,96,0.024105786110743276+0.099604496265252i,-0.9640196176197688+0.2448826363709482i
0.079,96,96,0.14813123980610088+0.26619934183100485i,-0.8308983261946471+0.46538510406560324i
0.08,96,96,0.3106564727613831+0.34233567670148496i,-0.655259918795406+0.5972290836528145i
0.081,96,96,0.45988964917145436+0.34400710397485545i,-0.48866876757797495+0.65657037080153i
0.082,96,96,0.5813513089958685+0.29892877516419153i,-0.3450849262039406+0.6732657928246142i
0.08299999999999999,96,96,0.6660205460411256+0.2318192883338621i,-0.23242587112027718+0.6695796796739653i
0.08399999999999999,96,96,0.7231519712216504+0.15492723860353588i,-0.14038470105059397+0.6580368995790666i
0.08499999999999999,96,96,0.7582763209683948+0.07268586085441672i,-0.060999461395165405+0.6447310452058306i
0.086,96,96,0.7736822759217982-0.0099159001925644i,0.008696385111698998+0.6331702163842334i
0.087,96,96,0.7723097997112851-0.09092833097328161i,0.0740011979117908+0.6240645837097339i
0.088,96,96,0.7549336164881838-0.17208901279438915i,0.1411218741553503+0.6166132812941503i
0.089,96,96,0.7206361798238746-0.2511174586819548i,0.21302182168678235+0.6098513854271415i
0.09,96,96,0.6675974054524105-0.3265748801962443i,0.2942483461836526+0.6006362680356806i
