% Model,cap_for_S11.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 20 2024, 22:28"
% Table,Table 3 - Global Evaluation 3
% lcap (m),freq (MHz),S11 (1),TEM port impedance (Ω),TEM mode port characteristic impedance (Ω)
0.063,96,0.7540456892564223-0.6568187485637312i,8.040891012490684E-5-24.970906937276027i,9.33990162960615
0.064,96,0.7514335976029077-0.6598089453945061i,-5.568024568172938E-6-24.820755305124948i,9.339901629606148
0.065,96,0.7487544599712926-0.6628515352562693i,-1.0046836046403461E-4-24.66906663995751i,9.33990162960615
0.066,96,0.7460215357407658-0.6659225016981976i,-1.675253004563907E-5-24.51689676388007i,9.339901629606151
0.067,96,0.743367358680198-0.668880114909126i,7.946571057046958E-5-24.37134856788886i,9.33990162960615
0.068,96,0.7406988514826434-0.6718338356222882i,8.129476848916796E-5-24.22705844484679i,9.33990162960614
0.069,96,0.7379627678903123-0.6748414255625305i,6.338236258261947E-8-24.08120489532812i,9.33990162960615
0.06999999999999999,96,0.735187388612028-0.6778640735810304i,-3.5067664615780172E-6-23.935542178652003i,9.339901629606146
0.071,96,0.7324946589769538-0.6807712813930322i,3.560162841635499E-5-23.796325546305514i,9.339901629606148
0.072,96,0.729770851312333-0.6836886021237712i,7.61243719415515E-5-23.65751703482217i,9.339901629606144
0.073,96,0.7269988513751441-0.6866388706614115i,-4.599993336014381E-6-23.518151106005273i,9.339901629606148
0.074,96,0.7241663439659265-0.6896259165796809i,-1.353519268148605E-5-23.377882358756604i,9.339901629606151
0.075,96,0.7214343362274191-0.6924811167731735i,4.030442609264693E-5-23.244579941623716i,9.339901629606148
0.076,96,0.718661801913754-0.6953591930500385i,1.3412650380289397E-5-23.11109917306783i,9.339901629606144
0.077,96,0.7158406405361094-0.6982639942062566i,-7.045998679056846E-6-22.97718574737826i,9.339901629606151
0.078,96,0.7129270402493151-0.7012352666317959i,6.736165364059848E-5-22.84094512499197i,9.339901629606151
0.079,96,0.7101678619472499-0.7040296865048292i,6.143356960889421E-5-22.71364135778021i,9.339901629606146
0.08,96,0.707362871448563-0.7068513613297457i,-1.7237233407243814E-5-22.585897380161963i,9.339974319842753
