% Model,cap_for_S11.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 20 2024, 23:31"
% Table,Table 3 - Global Evaluation 3
% f (MHz),lcap (m),freq (MHz),S11 (1),S11 (1),De-embedded S11 (1),TEM port impedance (Ω),TEM mode port characteristic impedance (Ω),Voltage standing wave ratio (1)
81,0.031,81,0.879533353373331-0.47583577177592234i,-6.0740567540764765E-6,0.9960873123840387-0.08836666512473457i,5.4279946855782284E-5-36.934503619886925i,9.339901629606146,2859996.206895542
81,0.032,81,0.877920662944344-0.4787949196074386i,-4.661973673928899E-5,0.9957792061686155-0.09172261459821146i,4.111209328139071E-4-36.674647207939266i,9.339901629606148,372627.1423040382
81,0.033,81,0.8762955884326168-0.4817764531993924i,1.089714648183538E-5,0.9954686161048079-0.09510385646350589i,-9.483069065980035E-5-36.41626971111368i,9.339905501353497,-1594158.5538732116
81,0.034,81,0.8746380855209187-0.4847797044669911i,1.3647712186181348E-5,0.995136825757984-0.09851822434009261i,-1.1719650232723416E-4-36.158703454227144i,9.339901629606153,-1272871.1624605525
81,0.035,81,0.8729895921499177-0.4877407325117137i,8.035105572379504E-6,0.9947965924224844-0.10189008714176201i,-6.810432414631402E-5-35.907571303560125i,9.339901629606148,-2161985.1935474775
81,0.036000000000000004,81,0.871345045309755-0.49067276333002185i,8.462913644078023E-6,0.994448492319156-0.10523376256665906i,-7.081344118730173E-5-35.661665775820396i,9.33990162960615,-2052694.8526291456
81,0.037000000000000005,81,0.8696564442250725-0.4936537794286738i,-1.570009349533247E-5,0.9940793547628652-0.1086398700323965i,1.2967106688624848E-4-35.41427894225003i,9.339901629606144,1106476.167222448
81,0.038000000000000006,81,0.8679716557532335-0.4966171864723412i,1.4874954496792433E-5,0.9937067400813329-0.11202829913751344i,-1.2128546335408977E-4-35.17129944993937i,9.33990162960615,-1167854.2802128454
81,0.039,81,0.8662739242248224-0.49957108985308946i,7.754793897589715E-6,0.9933184759888811-0.11541313126331643i,-6.242762601231842E-5-34.93154359510652i,9.339901629606153,-2240134.232293396
81,0.04,81,0.8645975244600079-0.5024654564269934i,1.7988680470052229E-6,0.9929262058257116-0.11873484740933066i,-1.4302017362441367E-5-34.69911677655312i,9.33990162960615,-9657061.457521
81,0.041,81,0.8628694663975954-0.5054223052508686i,-1.9879065996496527E-5,0.9925112648303153-0.12213440085127869i,1.5606058698907835E-4-34.464101902229714i,9.339901629606144,873873.0119088116
81,0.041999999999999996,81,0.8611345179025361-0.5083813554570343i,1.8503075094865204E-5,0.9920908697485603-0.1255387058285613i,-1.434395916970572E-4-34.23167304446573i,9.339901629606146,-938859.0376388363
81,0.043,81,0.8594129341069932-0.5112855182949109i,1.5080973415007543E-5,0.9916609960598084-0.12888732064153974i,-1.1547941361197031E-4-34.00574081299154i,9.339901629606148,-1151900.3977683058
81,0.044,81,0.8576873163168552-0.5141740258083974i,1.068965399791257E-5,0.9912212151231203-0.1322231601372041i,-8.086153675244805E-5-33.78331392812841i,9.33990162960615,-1625102.1109590977
81,0.045,81,0.8559305012073773-0.5170952831884952i,1.9781169186751054E-5,0.9907657678746861-0.13560143067307906i,-1.4780843145823611E-4-33.56071038255885i,9.33990162960615,-878197.8007953617
81,0.046,81,0.8541445179875216-0.5200420047102672i,2.842131574388236E-5,0.9902936304240064-0.13901463884372245i,-2.0976753409542766E-4-33.338449910980096i,9.339901629606151,-611223.6123236286
81,0.047,81,0.8523664446785995-0.5229412418382531i,-1.6944339007060395E-5,0.9898099395511442-0.14238111530371778i,1.2355764351750564E-4-33.121731564853036i,9.339901629606146,1025226.1400498904
81,0.048,81,0.8506287287466852-0.5257672923581381i,2.084104061153902E-6,0.9893343020332859-0.1456644043791081i,-1.502024102098839E-5-32.91283327458093i,9.33990162960615,-8335370.390427778
81,0.049,81,0.8488143880585024-0.5286938070098735i,1.3058979716327958E-5,0.9888281213843544-0.14907029652218345i,-9.29865835547959E-5-32.69858213960604i,9.33990162960615,-1330255.4759021264
81,0.05,81,0.8469927130672321-0.5316091629082981i,2.1532601665376087E-5,0.9883107851181245-0.15246884959311557i,-1.514968505067223E-4-32.48723770757819i,9.339901629606148,-806766.388315313
81,0.051000000000000004,81,0.8451903678508036-0.5344656411624839i,1.2138138280685907E-6,0.9877878658678079-0.15580568518293225i,-8.440709289579187E-6-32.28203467448624i,9.339901629606144,-1.4311732871475082E7
81,0.052000000000000005,81,0.843403801122876-0.5372806470357404i,2.0213261731377945E-6,0.9872629999402228-0.15909819099125927i,-1.3895680221983942E-5-32.081806508179795i,9.339901629606148,-8594248.419462303
81,0.053000000000000005,81,0.8415596665647097-0.5401664698940387i,1.0803436564682167E-5,0.9867133400589289-0.16247852823079617i,-7.340378957507504E-5-31.87850488327933i,9.339901629606153,-1607986.4191252398
81,0.054000000000000006,81,0.8396924915751225-0.5430688475795376i,3.1501952821694193E-5,0.9861490857071477-0.16588319498358062i,-2.1154391353047774E-4-31.67602524149686i,9.33990162960615,-551450.8695364497
81,0.05500000000000001,81,0.8378596753023436-0.5458885679348642i,1.3741488770318777E-5,0.9855836242896064-0.16919835587820947i,-9.123560801510992E-5-31.48097703871267i,9.339901629606151,-1264184.657523168
81,0.05600000000000001,81,0.8360236103052473-0.5486938754039703i,1.936491075741883E-6,0.9850094689331929-0.172501571023562i,-1.2713316476242534E-5-31.288711656502947i,9.339901629606148,-8970751.011981558
81,0.056999999999999995,81,0.8341411137193874-0.5515510149990708i,-3.4854945589208305E-7,0.9844132214572523-0.1758707740463999i,2.2623037953702396E-6-31.09471119865533i,9.339901629606144,4.984021340601654E7
81,0.057999999999999996,81,0.832228291224775-0.5544390649894039i,2.8687232611712927E-5,0.9838013788513955-0.17928037391562468i,-1.8407210725503178E-4-30.90053681975995i,9.339901629606146,-605557.8629974951
81,0.059,81,0.8303658989358882-0.5572189244989636i,1.9801017773164035E-6,0.9831929674877267-0.18257065650883042i,-1.256605740480832E-5-30.71507580545858i,9.339901629606148,-8773174.936351892
81,0.06,81,0.8284951711369932-0.5600006364791148i,2.1547268921785098E-5,0.9825776369951228-0.18586594290350805i,-1.3524955572858069E-4-30.53130484044214i,9.33990162960615,-806217.221268595
81,0.061,81,0.826575587913097-0.5628316022537792i,2.8728612806248176E-5,0.9819369672869507-0.18922581035562813i,-1.7832931900309837E-4-30.345859313166937i,9.33990162960615,-604685.6279807783
81,0.062,81,0.8246008719457955-0.5657154359073623i,2.399205449855778E-6,0.9812666269899633-0.19265606451228895i,-1.4725315800026651E-5-30.15847617567522i,9.339901629606146,-7240638.467586507
81,0.063,81,0.8227145340751882-0.568455042733026i,1.4774138156059863E-6,0.9806202799475461-0.19591887796421525i,-8.971268443317337E-6-29.982100309739714i,9.339901629606146,-1.1758235295527762E7
81,0.064,81,0.8208008407574244-0.5712148042301913i,1.6188750731398165E-6,0.9799568030898682-0.19921103593354378i,-9.725281250831726E-6-29.80591882119276i,9.33990162960615,-1.0730771978499051E7
81,0.065,81,0.8188450593756613-0.5740204255318182i,2.9011606857788926E-5,0.9792728555312966-0.2025619772100385i,-1.7240117285211368E-4-29.628429733602864i,9.33990162960615,-598787.2151251987
81,0.066,81,0.8168458011145479-0.5768570745867725i,4.982654591299021E-6,0.978561284896833-0.2059586341971027i,-2.9286533099442253E-5-29.450282332106035i,9.339901629606151,-3486450.638134426
