% Model,TWA_Ragonal_like_plasma_for_Sij.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 26 2024, 13:57"
% Table,Table 15 - Global Matrix Evaluation 1
% freq (MHz),De-embedded S-parameter (1),,,,,,,,,,
85,0.09430054716200148+0.8310933109475315i,-3.635314821635589E-7+3.806712483182157E-8i,0.46104613397593386-0.29373555119518346i,-0.011611885244510114-0.032854611242769394i,-0.002953603599089194-0.001887450303710784i,-4.511315197486053E-4-2.3329967569061543E-4i,-9.830510667773055E-5-6.972386367094039E-5i,-2.8287896286994878E-5-2.3023156050648196E-5i,-9.04192400281863E-6-7.644040787672976E-6i,-3.0329890235640474E-6-2.5633924585601842E-6i,-9.535967515775506E-7-8.785513197577756E-7i
,-3.6379623224768604E-7+3.7251096691055355E-8i,0.09432150128482368+0.831098496085168i,-9.63721356201365E-7-9.00607303080361E-7i,-3.0185895620310995E-6-2.5662730332824747E-6i,-8.962675698079425E-6-7.660597136736518E-6i,-2.7843820931786556E-5-2.2988945135448587E-5i,-9.707623087859316E-5-6.870799135826496E-5i,-4.5093426474427566E-4-2.3069251370671476E-4i,-0.002950305063727212-0.0018826342446125962i,-0.011626127348477606-0.03286060943625891i,0.4614494538233268-0.29367663439010466i
,0.4611995700390683-0.29373304377735626i,-9.603936305793732E-7-8.802862232935079E-7i,0.705968815494151+0.43485117116067884i,0.050852872882428055-0.09985227902006631i,-0.002144126046646512-0.011068105108227512i,-4.4035612911486413E-4-0.0015658791229876865i,-4.938587347847036E-5-3.8339135879677144E-4i,-6.939056664890725E-6-1.1694121642136816E-4i,-1.449371559544416E-6-3.801524277028218E-5i,-4.422497144362172E-7-1.2751681063202034E-5i,6.516593602180561E-8-4.1197152490861325E-6i
,-0.011597725963315323-0.03287344084014435i,-3.0576662971862088E-6-2.5736039305361302E-6i,0.050888484243237636-0.10021587464596579i,0.8868210680329267+0.4323102261613916i,0.0521376116941286-0.10991117226183712i,-0.002807882167349278-0.011824051648937725i,-5.520566847390136E-4-0.0016468366067043708i,-7.496159537600134E-5-4.0102022665699957E-4i,-1.3674909494620314E-5-1.2170152486690732E-4i,-3.5342562668001824E-6-3.9872376230456024E-5i,-4.3827037153205114E-7-1.275443939722941E-5i
,-0.0029506119098365487-0.001891102847586995i,-9.124736934924866E-6-7.668314982325226E-6i,-0.002200977811649659-0.010729377398439828i,0.051985795673265854-0.11005053446263352i,0.886303271151221+0.4323160394006045i,0.05192985036646036-0.10999980285343501i,-0.0028103043677703233-0.011809667124415444i,-5.602444327907295E-4-0.0016463050992003264i,-7.840275450899615E-5-3.9578003874437065E-4i,-1.3613132859941151E-5-1.2134609218059089E-4i,-1.455615581341019E-6-3.796815966722341E-5i
,-4.5109557935141893E-4-2.3728572628026954E-4i,-2.855959801306117E-5-2.3133438882426936E-5i,-3.590650417108223E-4-0.0015293693057108872i,-0.0028085003646836824-0.011826352456974082i,0.05210118851393091-0.10985426321358457i,0.8861480545833791+0.43216788024612085i,0.052103261269701696-0.10990108313014027i,-0.0027748529351357834-0.011796967877837948i,-5.634398725219662E-4-0.001641458627046231i,-7.444773987138508E-5-3.9689538931263896E-4i,-6.499865831058075E-6-1.163790906814984E-4i
,-9.901305917513647E-5-7.029070455405311E-5i,-9.894274685492777E-5-7.033144723649827E-5i,-2.7604402848994427E-5-3.924336003458308E-4i,-5.689154094136901E-4-0.0016405665918228477i,-0.002805673009275971-0.011843860055934774i,0.05198887800759774-0.10986273539646886i,0.886253886770973+0.43228561233159707i,0.05197722706519048-0.10987925088202075i,-0.002844891283853461-0.01183224915467583i,-5.766192393920484E-4-0.001629396478530322i,-5.105585048485519E-5-3.778889910653938E-4i
,-2.8465494004095368E-5-2.3008877305599096E-5i,-4.509923026628879E-4-2.3722731086286465E-4i,-3.646342857731711E-6-1.2109158519389254E-4i,-7.834621148093942E-5-3.9414400386562145E-4i,-5.886200536680184E-4-0.0016414415772858326i,-0.002839146157389379-0.011823368102828252i,0.051905729913088006-0.10995354577280504i,0.8864651895732882+0.43232286101694123i,0.05192340285104848-0.11002314570200082i,-0.0029048473773382244-0.01184366838522304i,-4.586315814083756E-4-0.0015557138354721964i
,-9.04887882394208E-6-7.647724998905454E-6i,-0.0029504171364957955-0.001890868433224877i,-7.085143576386285E-7-3.8769740201420395E-5i,-1.4238849841652154E-5-1.1998866102526169E-4i,-8.435680006953709E-5-3.8825040122288985E-4i,-5.998151854760843E-4-0.0016249757794265446i,-0.0029341474093784376-0.011839002293078783i,0.051797512494927686-0.11020605844671263i,0.8866436200729437+0.43243644471697174i,0.051880528167730644-0.1102231737971207i,-0.0022201837562128867-0.011069733408492665i
,-3.043521941896638E-6-2.58102763398957E-6i,-0.01159538688143276-0.032871030275360515i,-2.55667844161011E-7-1.2999214590116403E-5i,-3.454752043607081E-6-3.9604077668299644E-5i,-1.3250688380183983E-5-1.2001495581487527E-4i,-7.581633421192129E-5-3.917708548049248E-4i,-5.738283493766101E-4-0.0016256156727373296i,-0.0028580732294109937-0.011825925553969522i,0.052052298516265944-0.10994453263969785i,0.8867678325337649+0.4322660282712485i,0.050747405024213814-0.0999199427954679i
