% Model,TWA_Ragonal_like_plasma_for_Sij_centerfed_11strap.mph
% Version,COMSOL 6.2.0.339
% Date,"Aug 26 2024, 12:42"
% Table,Table 17 - Global Matrix Evaluation 1
% freq (MHz),De-embedded S-parameter (1),,,,,,,,,,,,,
94,0.20955983169250628+0.8186034950154142i,-8.532580809067422E-6+2.2609378037814733E-6i,-8.482710263097014E-6+2.241389213476058E-6i,-2.468382117600081E-5-1.8774052089086032E-5i,-9.151114735357225E-5-4.69045970570645E-5i,-3.8891619981779735E-4-1.548891394387727E-4i,-0.002575192385141746-0.001283226302622072i,-0.013570546561603577-0.027478516532266007i,0.4243936998507186-0.32240844601222074i,-0.013577345860665037-0.02768446575786874i,-0.0026193497654123325-0.0013017196175646503i,-3.9256618317416183E-4-1.5893671413833856E-4i,-8.826567186981022E-5-5.1341675863257086E-5i,-2.4748080056675767E-5-2.043290846588399E-5i
,-8.501169926804951E-6+2.262964270727306E-6i,0.20797201776244253+0.8176147108032574i,-3.560464668293121E-8+9.615782574885356E-9i,0.42364842574889316-0.32852103418293216i,-0.013825063366226535-0.027919860073993753i,-0.0026538563890980606-0.0013628504971623676i,-4.0096827723720376E-4-1.8740946875201415E-4i,-9.329464715703208E-5-5.842557387936027E-5i,-2.4444587857242992E-5-1.815892567117554E-5i,-8.82857154596015E-6-6.774014552998543E-6i,-2.9780276971561604E-6-2.217064176453652E-6i,-1.0111780837739996E-6-7.512997430259253E-7i,-3.5158607036940226E-7-2.5549115282013623E-7i,-1.2653794676733904E-7-9.55878735680699E-8i
,-8.500293427941451E-6+2.2672977295435254E-6i,-3.4612052674277854E-8+1.1776189451819475E-8i,0.20797602958566147+0.8176043529537491i,-1.2140790620871615E-7-8.963208431191717E-8i,-3.6257356312362166E-7-2.4809449411293426E-7i,-1.0441363511718832E-6-7.391711327431706E-7i,-3.0212107095677147E-6-2.210482753988102E-6i,-8.907134200234341E-6-6.61056919285136E-6i,-2.4596032054088333E-5-1.8816975203468855E-5i,-9.418859385451718E-5-5.893116200272132E-5i,-4.03806926497568E-4-1.8838521557943902E-4i,-0.0026511717212073373-0.0013634201438923119i,-0.01386056499487427-0.02787822456068871i,0.4234751636922841-0.32836975717633715i
,-2.477175363210173E-5-1.8803562648216435E-5i,0.4233076461667163-0.32845494652087115i,-1.1711114607927496E-7-9.653903557882168E-8i,0.7352833108803302+0.4041732580567474i,0.042434117751408235-0.09429485759214423i,-0.0021010748495247644-0.009678669287914865i,-3.4860798151143947E-4-0.0014197284045803817i,-4.0382298616683675E-5-3.623030950269478E-4i,-2.64956688445174E-6-1.0032274873629312E-4i,-3.172299549887125E-7-3.690232580256516E-5i,-2.4404159654706557E-7-1.2309642033732106E-5i,-6.412163133380722E-8-4.174825430652129E-6i,-2.5493478948212663E-8-1.439448509300655E-6i,9.529307963502493E-9-5.139869154912693E-7i
,-9.069817699058308E-5-5.4936927364342704E-5i,-0.013835803163070396-0.027911468789861747i,-3.012293704473214E-7-2.6384560459757837E-7i,0.04193618777252523-0.09482185705322364i,0.9108067426565796+0.38126129760620425i,0.0419019782609743-0.10388840408167524i,-0.0027513357361618304-0.010237428341311233i,-4.7524776766738066E-4-0.0014831740201664773i,-6.165222957820284E-5-3.433627310588965E-4i,-8.054978116245644E-6-1.1327526226273348E-4i,-3.337321209306751E-6-3.666117315777247E-5i,-1.086274867875421E-6-1.1936608036571666E-5i,-3.866329465117873E-7-4.034930038798695E-6i,7.213002575875079E-8-1.6099402091512865E-6i
,-3.9277118248974964E-4-1.75874993145554E-4i,-0.0026520946625083353-0.0013776048884950583i,-8.228723947298962E-7-3.914341126544433E-7i,-0.0022803102962581675-0.010102212255219843i,0.04206195624064403-0.1037933988017797i,0.9136146255760627+0.3829865848245904i,0.042123480680539005-0.10405317848449039i,-0.0029201041423141554-0.010381527725370756i,-4.35926807208627E-4-0.0014582164128352853i,-7.28776219789387E-5-3.483661482932433E-4i,-2.0615846169013315E-5-1.111425806753167E-4i,-8.509682493050704E-6-3.512612175431683E-5i,-3.210314112664614E-6-1.162496302148925E-5i,1.0687236924381973E-6-4.016618483213407E-6i
,-0.0025945579110903576-0.0013239853712135583i,-4.0446355490571256E-4-1.888782773608307E-4i,-2.9857499019489256E-6-2.216565016870368E-6i,-3.897579875400042E-4-0.0014260378718606189i,-0.00273878005821513-0.010286435318915859i,0.04205786982831465-0.10368757843622049i,0.9104791882261388+0.38122833697603287i,0.04225933461892391-0.10330470178540264i,-0.0021692895779482336-0.009396992867910695i,-4.4022000679199704E-4-0.0014865887049472283i,-6.105211584028845E-5-3.69134456784423E-4i,-1.0728446269921492E-5-1.1332646622613426E-4i,-3.2237520188619193E-6-3.730835838486336E-5i,2.9418562882398564E-8-1.2971309078519348E-5i
,-0.01342173941085715-0.027532499090658122i,-9.368716030284936E-5-5.917565771034867E-5i,-8.837223702942882E-6-6.622249460039217E-6i,-4.34818577199279E-5-3.583619813040287E-4i,-5.60401488643859E-4-0.0015303349031446855i,-0.0030033268894531315-0.010330268924353599i,0.042295686227596406-0.10338000684470963i,0.9119636660737352+0.3814342143334274i,0.04167237454087876-0.09296944144242503i,-0.002420167187166801-0.010367331572672202i,-4.91521529294579E-4-0.0014733984418794455i,-6.756008478514287E-5-3.570846428037659E-4i,-1.3706354722173264E-5-1.1258904462568215E-4i,2.0633719836476873E-6-3.713109699204221E-5i
,0.4242980851737784-0.3222542282446643i,-2.4773473799881092E-5-1.8947966408028828E-5i,-2.462651829165548E-5-1.8844856841966314E-5i,-1.2079867309667374E-6-1.0212688395414699E-4i,-6.67817950818552E-5-3.3531122885426874E-4i,-4.0887045234100925E-4-0.0013248713003550568i,-0.002148417460436941-0.009314715900127933i,0.04188073961201612-0.09277932397280973i,0.7215237735979702+0.41894442836978313i,0.04245533312248055-0.09317876387894218i,-0.0021773509838541602-0.009474168872356342i,-4.055273244727872E-4-0.001343163724667329i,-4.867461430128839E-5-3.3489109326928355E-4i,3.1332607558185313E-6-1.0537870254570462E-4i
,-0.013419596330698776-0.02752707699320206i,-8.993778361262595E-6-6.6309975893288234E-6i,-9.373730767682303E-5-5.9300909257645947E-5i,-9.7083568202939E-7-3.6978834373354605E-5i,-1.3517576653440598E-5-1.1328691474507947E-4i,-5.4951171524670094E-5-3.707761882206282E-4i,-3.8585863841540934E-4-0.0014867123750642018i,-0.0021886584314144567-0.010133540201079927i,0.04226162443585574-0.09231354258821887i,0.9130194382635521+0.3816850105294425i,0.04202270213012087-0.10353766419243571i,-0.00274861163664976-0.010267210719688889i,-4.8181790422080213E-4-0.0014735341453189254i,-1.9611430138168355E-5-3.742045136188416E-4i
